algorithm	fanout	cascading	input_size	run	time
rank_unbounded	16	128	10000	4	0.0068358
rank_unbounded	16	128	100000	0	0.10054
rank_unbounded	16	128	100000	1	0.0965971
rank_unbounded	16	128	100000	2	0.0964988
rank_unbounded	16	128	100000	3	0.0966306
rank_unbounded	16	128	100000	4	0.0968299
rank_unbounded	16	128	1000000	0	1.46908
rank_unbounded	16	128	1000000	1	1.43714
rank_unbounded	16	128	1000000	2	1.43676
rank_unbounded	16	128	1000000	3	1.43537
rank_unbounded	16	256	10000	0	0.00719588
rank_unbounded	16	256	10000	1	0.00714003
rank_unbounded	16	256	10000	2	0.00716325
rank_unbounded	16	256	10000	3	0.007178
rank_unbounded	16	256	10000	4	0.00718865
rank_unbounded	16	256	100000	0	0.10587
rank_unbounded	16	256	100000	1	0.102182
rank_unbounded	16	256	100000	2	0.102045
rank_unbounded	16	256	100000	3	0.102092
rank_unbounded	16	256	100000	4	0.102897
rank_unbounded	16	256	1000000	0	1.56232
rank_unbounded	16	256	1000000	1	1.54425
rank_unbounded	16	256	1000000	2	1.52974
rank_unbounded	16	256	1000000	3	1.52952
rank_unbounded	16	512	10000	0	0.00724845
rank_unbounded	16	512	10000	1	0.00720414
rank_unbounded	16	512	10000	2	0.00728187
rank_unbounded	16	512	10000	3	0.00723429
rank_unbounded	16	512	10000	4	0.00733891
rank_unbounded	16	512	100000	0	0.111867
rank_unbounded	16	512	100000	1	0.108664
rank_unbounded	16	512	100000	2	0.123069
rank_unbounded	16	512	100000	3	0.108407
rank_unbounded	16	512	100000	4	0.108404
rank_unbounded	16	512	1000000	0	1.67565
rank_unbounded	16	512	1000000	1	1.64503
rank_unbounded	16	512	1000000	2	1.64369
rank_unbounded	16	512	1000000	3	1.64374
rank_unbounded	16	1024	10000	0	0.00764933
rank_unbounded	16	1024	10000	1	0.0076495
rank_unbounded	16	1024	10000	2	0.00759013
rank_unbounded	16	1024	10000	3	0.00765977
rank_unbounded	16	1024	10000	4	0.00761784
rank_unbounded	16	1024	100000	0	0.120461
rank_unbounded	16	1024	100000	1	0.11908
rank_unbounded	16	1024	100000	2	0.119815
rank_unbounded	16	1024	100000	3	0.119058
rank_unbounded	16	1024	100000	4	0.119089
rank_unbounded	16	1024	1000000	0	1.85825
rank_unbounded	16	1024	1000000	1	1.84429
rank_unbounded	16	1024	1000000	2	1.85816
rank_unbounded	32	1	10000	0	0.00667965
rank_unbounded	32	1	10000	1	0.00565439
rank_unbounded	32	1	10000	2	0.00538036
rank_unbounded	32	1	10000	3	0.00536089
rank_unbounded	32	1	10000	4	0.00541645
